State,Year,GDP (Millions of dollars),Population (Number of persons),Personal Income (Dollars)
South Carolina,1975,14394.3,2900158,4963
South Carolina,1976,16096.3,2941407,5472
South Carolina,1977,17592.5,2988979,5886
South Carolina,1978,19879.1,3041068,6537
South Carolina,1979,22283.2,3086885,7219
South Carolina,1981,28101.8,3179255,8839
South Carolina,1982,29878.3,3207611,9315
South Carolina,1983,32452.2,3234068,10034
South Carolina,1986,41354.9,3342759,12371
South Carolina,1987,44239.8,3380507,13087
South Carolina,1989,52466.5,3456777,15178
South Carolina,1990,56391.0,3501155,16106
South Carolina,1991,58930.9,3570404,16505
South Carolina,1992,62654.7,3620464,17306
South Carolina,1993,65852.0,3663314,17976
South Carolina,1994,69837.5,3705397,18848
South Carolina,1996,78652.0,3796200,20719
South Carolina,1997,83696.8,3859696,21685
South Carolina,2000,100705.3,4024223,25025
South Carolina,1998,89751.9,3919235,22900
South Carolina,2001,104242.1,4064995,25644
South Carolina,2002,107305.3,4107795,26122
South Carolina,2003,111196.7,4150297,26792
South Carolina,2004,117451.8,4210921,27892
South Carolina,2005,124417.0,4270150,29136
South Carolina,2007,143055.1,4444110,32190
South Carolina,2008,149954.4,4528996,33110
South Carolina,2009,146753.7,4589872,31973
South Carolina,2011,160391.1,4662785,34398
South Carolina,2012,168271.2,4701074,35794
South Carolina,2018,219942.1,5021059,43804
South Carolina,2019,234324.0,5077543,46149
South Carolina,2020,250288.3,5132151,48769
South Carolina,2022,283245.8,5282955,53615
South Carolina,2015,192054.7,4852678,39577
South Carolina,2016,200027.4,4910768,40732
South Carolina,2013,170204.8,4740306,35906
South Carolina,2014,180837.7,4792246,37735
South Dakota,1980,5716.5,690851,8275
South Dakota,1984,8268.3,697250,11858
South Dakota,2006,27393.1,783033,34983
South Dakota,2017,42989.3,870163,49404
South Dakota,1985,8481.2,698404,12144
South Dakota,1974,3612.0,679877,5313
South Dakota,1995,14864.8,737925,20144
South Dakota,2021,58627.9,896299,65411
South Dakota,1999,18948.9,750412,25251
South Dakota,2010,33682.9,816078,41274
South Dakota,1988,9740.4,698160,13952
South Dakota,2023,64676.4,919318,70353
South Dakota,2014,39607.1,847634,46727
South Dakota,2013,37840.2,841206,44983
South Dakota,2016,41551.5,860650,48279
South Dakota,2015,41160.1,852134,48302
South Dakota,2022,62028.3,909869,68173
South Dakota,2020,52793.3,887852,59462
South Dakota,2019,48031.4,882507,54426
South Dakota,2018,45144.0,875300,51575
South Dakota,2012,37469.6,832800,44992
South Dakota,2011,36655.0,823160,44530
South Dakota,2009,31827.1,807067,39435
South Dakota,2008,32676.8,799124,40891
South Dakota,2007,30342.5,791623,38330
South Dakota,2005,26005.4,775493,33534
South Dakota,2004,24553.2,770396,31871
South Dakota,2003,22822.7,763729,29883
South Dakota,2002,20898.5,760020,27497
South Dakota,2001,20892.2,757972,27563
South Dakota,1998,18102.9,746058,24265
South Dakota,2000,20201.2,755844,26727
South Dakota,1997,16797.7,744223,22571
South Dakota,1996,16415.5,742213,22117
South Dakota,1994,14573.9,730790,19943
South Dakota,1993,13520.2,722159,18722
South Dakota,1992,12935.1,712801,18147
South Dakota,1991,11982.0,703669,17028
South Dakota,1990,11483.9,697101,16474
South Dakota,1989,10481.3,696698,15044
South Dakota,1987,9303.5,696034,13366
South Dakota,1986,8847.0,696036,12711
South Dakota,1983,7277.1,693009,10501
South Dakota,1982,7011.8,690597,10153
South Dakota,1981,6653.4,689584,9648
South Dakota,1979,5665.4,689018,8222
South Dakota,1978,5142.5,689293,7460
South Dakota,1977,4462.6,688992,6477
South Dakota,1976,3932.8,686843,5726
South Dakota,1975,3972.0,681420,5829
Tennessee,2023,435066.5,7126489,61049
Tennessee,1988,71613.1,4822438,14850
Tennessee,2010,227613.0,6356320,35809
Tennessee,1999,145231.9,5638706,25756
Tennessee,2021,396986.1,6963709,57008
Tennessee,1995,114276.1,5326936,21452
Tennessee,1974,20073.6,4201621,4778
Tennessee,1985,57197.6,4715292,12130
Tennessee,2017,299307.7,6739437,44411
Tennessee,2006,200188.9,6088766,32878
Tennessee,1984,53445.3,4686743,11403
Tennessee,1980,38090.0,4600252,8280
Tennessee,1975,21893.6,4260829,5138
Tennessee,1976,24519.7,4329160,5664
Tennessee,1977,27175.8,4401939,6174
Tennessee,1978,30979.3,4461639,6943
Tennessee,1979,34544.0,4533297,7620
Tennessee,1981,42374.4,4627662,9157
Tennessee,1982,45036.0,4646043,9693
Tennessee,1983,48073.6,4659757,10317
Tennessee,1986,61206.5,4738708,12916
Tennessee,1987,65770.3,4782939,13751
Tennessee,1989,76875.7,4854432,15836
Tennessee,1990,81787.2,4894492,16710
Tennessee,1991,86093.1,4966587,17334
Tennessee,1992,94022.4,5049742,18619
Tennessee,1993,100041.6,5137584,19472
Tennessee,1994,106434.0,5231438,20345
Tennessee,1996,120649.3,5416643,22274
Tennessee,1997,127785.2,5499233,23237
Tennessee,1998,139760.3,5570045,25091
Tennessee,2000,153990.1,5703719,26998
Tennessee,2001,158125.3,5750789,27496
Tennessee,2002,162879.4,5795918,28102
Tennessee,2003,169929.5,5847812,29059
Tennessee,2004,179892.9,5910809,30435
Tennessee,2005,188177.6,5991057,31410
Tennessee,2007,209746.8,6175727,33963
Tennessee,2008,218372.5,6247411,34954
Tennessee,2009,217094.7,6306019,34427
Tennessee,2011,241431.7,6404344,37698
Tennessee,2012,252592.3,6463111,39082
Tennessee,2018,316176.5,6806545,46452
Tennessee,2019,335496.9,6862378,48889
Tennessee,2020,359633.6,6926091,51924
Tennessee,2022,411035.1,7048976,58311
Tennessee,2015,277356.1,6612901,41942
Tennessee,2016,286532.3,6672356,42943
Tennessee,2013,254464.6,6507640,39102
Tennessee,2014,263856.0,6558710,40230
Texas,2023,1995594.4,30503301,65422
Texas,1980,143179.4,14338208,9986
Texas,1984,216621.1,16007088,13533
Texas,2006,827439.7,23359580,35422
Texas,2017,1367826.0,28192251,48518
Texas,1985,233449.0,16272722,14346
Texas,1974,65532.3,12267865,5342
Texas,1995,402352.7,18958751,21223
Texas,2021,1789719.4,29561286,60543
Texas,1999,543797.6,20558220,26452
Texas,2010,982052.8,25238863,38910
Texas,1988,258008.1,16667040,15480
Texas,2014,1257639.6,26907878,46739
Texas,2013,1173747.4,26438164,44396
Texas,2016,1276330.6,27830020,45862
Texas,2015,1281170.1,27399070,46760
Texas,2022,1879419.6,30029848,62585
Texas,2020,1611228.3,29234361,55114
Texas,2019,1536597.0,28857754,53247
Texas,2018,1463789.8,28510878,51341
Texas,2012,1142887.5,26055816,43863
Texas,2011,1074858.0,25630063,41937
Texas,2009,923470.7,24801761,37234
Texas,2008,968499.3,24309039,39841
Texas,2007,878902.4,23831983,36879
Texas,2005,754775.9,22778123,33136
Texas,2004,696381.3,22394023,31097
Texas,2003,664814.9,22030931,30176
Texas,2002,639443.1,21690325,29481
Texas,2001,631080.2,21319622,29601
Texas,2000,591738.3,20944499,28253
Texas,1998,514882.6,20157531,25543
Texas,1997,472267.8,19740317,23924
Texas,1996,432484.5,19340342,22362
Texas,1994,376212.5,18564062,20266
Texas,1993,356047.5,18161612,19604
Texas,1992,336384.6,17759738,18941
Texas,1991,311648.5,17398005,17913
Texas,1990,297664.4,17056755,17451
Texas,1989,275613.3,16806729,16399
Texas,1987,242766.1,16621767,14605
Texas,1986,238841.0,16561103,14422
Texas,1983,198102.2,15751674,12577
Texas,1982,185427.4,15331408,12095
Texas,1979,124674.9,13887312,8978
Texas,1981,168206.0,14746318,11407
Texas,1978,108293.3,13497726,8023
Texas,1977,93978.6,13191790,7124
Texas,1976,84227.6,12903268,6528
Texas,1975,74746.7,12568182,5947
Utah,1988,22309.3,1689372,13206
Utah,2010,88940.5,2776094,32038
Utah,1999,50670.0,2203482,22995
Utah,2021,190468.3,3339284,57039
Utah,1995,38274.8,2014177,19003
Utah,1974,5910.4,1198793,4930
Utah,1985,19059.8,1642910,11601
Utah,2017,134546.7,3125784,43044
Utah,2006,78561.1,2525507,31107
Utah,1984,17800.9,1622342,10972
Utah,1980,12318.4,1472595,8365
Utah,2023,214713.1,3417734,62823
Utah,1975,6590.5,1233935,5341
Utah,1976,7463.6,1272365,5866
Utah,1977,8440.5,1316421,6412
Utah,1978,9711.7,1364235,7119
Utah,1981,13878.4,1515472,9158
Utah,1979,10970.2,1416094,7747
Utah,1982,15058.0,1558314,9663
Utah,1983,16136.1,1594943,10117
Utah,1986,20029.9,1662833,12046
Utah,1987,20928.1,1678120,12471
Utah,1989,23942.1,1705865,14035
Utah,1990,25975.9,1731223,15004
Utah,1991,27877.5,1779780,15663
Utah,1992,30105.9,1836799,16390
Utah,1993,32466.5,1898404,17102
Utah,1994,35131.1,1960446,17920
Utah,1996,41682.8,2067976,20156
Utah,1997,45000.5,2119784,21229
Utah,1998,48098.5,2165960,22207
Utah,2000,54230.6,2244502,24162
Utah,2001,56788.7,2283715,24867
Utah,2002,58508.6,2324815,25167
Utah,2003,60770.4,2360137,25749
Utah,2004,64795.0,2401580,26980
Utah,2005,70661.8,2457719,28751
Utah,2007,85528.5,2597746,32924
Utah,2008,89967.8,2663029,33784
Utah,2009,86594.7,2723421,31796
Utah,2011,95881.7,2818261,34022
Utah,2012,101928.1,2860480,35633
Utah,2018,144645.5,3180896,45473
Utah,2019,155673.6,3232701,48156
Utah,2020,169940.2,3283982,51748
Utah,2022,201011.8,3381236,59449
Utah,2015,119661.5,2999092,39899
Utah,2016,126540.6,3063043,41312
Utah,2013,105028.0,2908068,36116
Utah,2014,111056.4,2950652,37638
Vermont,2023,43032.3,647464,66463
Vermont,1980,4506.5,512524,8793
Vermont,1984,6480.3,526658,12305
Vermont,2006,22803.5,622892,36609
Vermont,2017,31960.2,639061,50011
Vermont,1985,7031.2,530035,13265
Vermont,1974,2364.0,473138,4996
Vermont,1995,12862.2,589002,21837
Vermont,2021,39603.5,647093,61202
Vermont,1999,16326.2,604683,27000
Vermont,2010,25988.7,626360,41492
Vermont,1988,8965.1,549763,16307
Vermont,2014,29724.5,633827,46897
Vermont,2013,28666.0,632824,45298
Vermont,2016,31073.3,636342,48831
Vermont,2015,30598.0,635874,48120
Vermont,2022,40790.3,647110,63035
Vermont,2020,37273.8,642936,57974
Vermont,2019,34824.1,641838,54257
Vermont,2018,33117.1,640667,51692
Vermont,2012,28291.9,630661,44861
Vermont,2011,27547.8,629582,43756
Vermont,2009,25216.4,624817,40358
Vermont,2008,25449.4,624151,40774
Vermont,2007,24063.0,623481,38595
Vermont,2005,21477.4,621215,34573
Vermont,2004,21049.1,619920,33955
Vermont,2003,19945.8,617858,32282
Vermont,2002,19198.1,615442,31194
Vermont,2001,18797.4,612223,30704
Vermont,2000,17680.2,609618,29002
Vermont,1998,15458.6,600416,25747
Vermont,1997,14359.0,597239,24042
Vermont,1996,13545.6,593701,22816
Vermont,1994,12223.0,583836,20936
Vermont,1993,11661.1,577748,20184
Vermont,1992,11227.0,572751,19602
Vermont,1991,10507.3,568606,18479
Vermont,1990,10293.9,564798,18226
Vermont,1989,9903.1,557708,17757
Vermont,1987,8173.3,540267,15128
Vermont,1986,7564.8,534066,14165
Vermont,1983,5906.0,523302,11286
Vermont,1982,5491.1,519108,10578
Vermont,1979,4014.9,505711,7939
Vermont,1981,5061.3,515594,9817
Vermont,1978,3573.4,498284,7171
Vermont,1977,3120.1,492174,6339
Vermont,1976,2876.0,485144,5928
Vermont,1975,2591.8,479894,5401
Virginia,1988,113855.8,6036908,18860
Virginia,2010,364677.9,8025030,45443
Virginia,1999,214025.7,7000174,30574
Virginia,2021,578639.7,8657348,66838
Virginia,1995,166843.9,6670693,25011
Virginia,1974,29489.6,4978155,5924
Virginia,1985,89269.1,5715149,15620
Virginia,2017,462372.2,8502578,54380
Virginia,2006,323553.8,7673725,42164
Virginia,1984,82549.8,5643868,14626
Virginia,1980,56746.1,5368334,10571
Virginia,2023,634984.9,8715698,72855
Virginia,1975,32379.8,5056385,6404
Virginia,1976,35770.8,5132693,6969
Virginia,1977,39631.2,5205706,7613
Virginia,1978,44990.4,5284122,8514
Virginia,1981,63651.3,5444094,11692
Virginia,1979,50186.3,5324533,9425
Virginia,1982,68805.2,5492785,12526
Virginia,1983,74253.8,5564662,13344
Virginia,1986,96310.3,5811692,16572
Virginia,1987,103737.7,5932273,17487
Virginia,1989,123151.2,6120246,20122
Virginia,1990,129561.6,6216884,20840
Virginia,1991,135176.0,6301217,21452
Virginia,1992,143616.9,6414307,22390
Virginia,1993,150892.5,6509630,23180
Virginia,1994,158792.7,6593139,24085
Virginia,1996,175083.8,6750884,25935
Virginia,1997,186626.6,6829183,27328
Virginia,1998,199883.6,6900918,28965
Virginia,2000,231869.8,7105817,32631
Virginia,2001,244314.3,7198362,33940
Virginia,2002,251357.7,7286873,34495
Virginia,2003,266325.2,7366977,36151
Virginia,2004,284687.3,7475575,38082
Virginia,2005,303288.9,7577105,40027
Virginia,2007,341200.3,7751000,44020
Virginia,2008,355506.4,7833496,45383
Virginia,2009,349465.4,7925937,44091
Virginia,2011,385635.1,8107628,47564
Virginia,2012,402072.1,8196915,49052
Virginia,2013,398579.8,8269638,48198
Virginia,2018,479766.6,8547016,56133
Virginia,2019,501811.6,8597339,58368
Virginia,2020,530920.4,8637193,61469
Virginia,2022,599042.0,8679099,69021
Virginia,2015,433088.2,8389864,51620
Virginia,2016,444691.4,8444688,52659
Virginia,2014,414710.1,8333578,49764
Washington,2023,622365.4,7812880,79659
Washington,1980,46254.7,4154678,11133
Washington,1984,62358.7,4343657,14356
Washington,2006,253199.9,6370753,39744
Washington,2017,423017.2,7446807,56805
Washington,1985,66336.8,4400096,15076
Washington,1974,21826.7,3547877,6152
Washington,1995,133934.8,5481027,24436
Washington,2021,574266.8,7741433,74181
Washington,1999,179870.3,5842564,30786
Washington,2010,285436.7,6743597,42327
Washington,1988,81651.8,4639894,17598
Washington,2014,355276.6,7068026,50265
Washington,2016,397270.6,7315935,54302
Washington,2015,376360.8,7180454,52415
Washington,2022,586520.2,7784477,75345
Washington,2020,522713.8,7724566,67669
Washington,2019,484334.2,7638689,63405
Washington,2018,451609.2,7548537,59827
Washington,2013,330952.6,6974173,47454
Washington,2012,324882.7,6904030,47057
Washington,2011,302460.8,6830460,44281
Washington,2009,277889.8,6667426,41679
Washington,2008,289381.1,6562231,44098
Washington,2007,274770.4,6461587,42524
Washington,2005,232783.8,6257305,37202
Washington,2004,224342.9,6178645,36309
Washington,2003,209167.8,6104115,34267
Washington,2002,201073.1,6052349,33222
Washington,2001,197445.7,5985722,32986
Washington,2000,192317.8,5910512,32538
Washington,1998,169365.4,5769562,29355
Washington,1996,143929.2,5569753,25841
Washington,1997,154610.9,5674747,27245
Washington,1994,126690.1,5375161,23570
Washington,1993,120546.4,5278842,22836
Washington,1992,114669.9,5160757,22220
Washington,1991,106288.3,5025624,21149
Washington,1990,99135.2,4903043,20219
Washington,1989,90213.8,4746315,19007
Washington,1987,74745.7,4531903,16493
Washington,1986,70834.0,4452724,15908
Washington,1983,58291.8,4300269,13555
Washington,1982,54573.6,4276551,12761
Washington,1979,40752.9,4012831,10156
Washington,1981,51365.1,4235728,12127
Washington,1978,35366.6,3886191,9101
Washington,1977,30412.0,3772360,8062
Washington,1976,27398.8,3690561,7424
Washington,1975,24719.6,3618824,6831
West Virginia,1988,23221.5,1830213,12688
West Virginia,2010,60532.1,1854409,32642
West Virginia,1999,38078.6,1811799,21017
West Virginia,2021,87617.4,1785249,49079
West Virginia,1995,32855.6,1823700,18016
West Virginia,1974,8128.7,1814048,4481
West Virginia,1985,20756.7,1906831,10885
West Virginia,2017,70797.6,1822785,38840
West Virginia,2006,52147.0,1827912,28528
West Virginia,1984,19921.9,1927696,10335
West Virginia,1980,15637.5,1951349,8014
West Virginia,2023,93079.7,1770071,52585
West Virginia,1975,9186.1,1840548,4991
West Virginia,1976,10241.1,1877440,5455
West Virginia,1977,11457.3,1905628,6012
West Virginia,1978,12752.7,1920342,6641
West Virginia,1979,14222.8,1939062,7335
West Virginia,1981,17045.0,1954125,8723
West Virginia,1982,18060.0,1949605,9263
West Virginia,1983,18554.2,1945058,9539
West Virginia,1986,21253.2,1882352,11291
West Virginia,1987,21714.8,1857583,11690
West Virginia,1989,24579.3,1806570,13606
West Virginia,1990,26184.2,1792548,14607
West Virginia,1991,27331.6,1798735,15195
West Virginia,1992,29388.6,1806451,16269
West Virginia,1993,30475.6,1817539,16767
West Virginia,1994,31790.5,1820421,17463
West Virginia,1997,35627.8,1819113,19585
West Virginia,1996,34152.0,1822808,18736
West Virginia,1998,37130.6,1815609,20451
West Virginia,2000,40251.6,1807021,22275
West Virginia,2001,42750.3,1801481,23731
West Virginia,2002,44243.2,1805414,24506
West Virginia,2003,44952.8,1812295,24804
West Virginia,2004,46551.2,1816438,25628
West Virginia,2005,48854.3,1820492,26836
West Virginia,2007,54184.7,1834052,29544
West Virginia,2008,57958.9,1840310,31494
West Virginia,2009,58487.5,1847775,31653
West Virginia,2011,64059.0,1857326,34490
West Virginia,2012,65488.4,1858745,35233
West Virginia,2013,65152.6,1856642,35092
West Virginia,2018,74235.0,1810588,41000
West Virginia,2019,76746.6,1800430,42627
West Virginia,2020,80741.0,1791562,45067
West Virginia,2022,88744.9,1774035,50024
West Virginia,2015,68437.8,1846341,37067
West Virginia,2016,68067.9,1835998,37074
West Virginia,2014,67156.8,1853014,36242
Wisconsin,2023,378080.4,5910955,63963
Wisconsin,1980,47299.0,4712045,10038
Wisconsin,1984,62839.3,4735571,13270
Wisconsin,2006,201058.4,5577655,36047
Wisconsin,2017,281979.5,5836461,48313
Wisconsin,1985,66243.9,4747765,13953
Wisconsin,1974,25436.5,4538173,5605
Wisconsin,1995,119152.5,5184836,22981
Wisconsin,2021,355048.0,5879978,60383
Wisconsin,1999,148737.0,5332666,27892
Wisconsin,2010,222260.9,5691995,39048
Wisconsin,1988,78389.5,4822391,16255
Wisconsin,2014,255165.3,5778371,44159
Wisconsin,2016,270846.6,5812379,46598
Wisconsin,2015,266132.0,5794088,45932
Wisconsin,2022,362245.3,5890543,61496
Wisconsin,2020,326836.5,5896700,55427
Wisconsin,2019,307907.6,5880193,52364
Wisconsin,2018,295996.8,5858766,50522
Wisconsin,2013,245762.3,5757204,42688
Wisconsin,2012,244508.3,5734069,42641
Wisconsin,2011,234631.6,5713164,41069
Wisconsin,2009,216211.9,5669264,38138
Wisconsin,2008,219194.5,5640996,38857
Wisconsin,2007,210529.9,5610775,37522
Wisconsin,2005,189779.2,5546166,34218
Wisconsin,2004,183721.4,5514026,33319
Wisconsin,2003,175794.3,5479203,32084
Wisconsin,2002,171010.0,5445162,31406
Wisconsin,2001,166593.2,5406835,30812
Wisconsin,2000,158494.2,5373999,29493
Wisconsin,1998,143130.0,5297672,27018
Wisconsin,1996,125937.4,5229986,24080
Wisconsin,1997,133808.7,5266213,25409
Wisconsin,1994,113266.5,5133678,22063
Wisconsin,1993,106615.0,5084889,20967
Wisconsin,1992,101342.4,5025398,20166
Wisconsin,1991,94089.1,4964343,18953
Wisconsin,1990,90418.0,4904562,18435
Wisconsin,1989,85446.6,4856568,17594
Wisconsin,1987,73507.2,4777923,15385
Wisconsin,1986,69881.4,4755625,14694
Wisconsin,1983,57213.7,4721438,12118
Wisconsin,1982,54426.0,4728862,11509
Wisconsin,1981,51586.5,4726345,10915
Wisconsin,1979,42797.8,4665911,9172
Wisconsin,1978,38209.9,4631944,8249
Wisconsin,1977,34210.4,4613299,7416
Wisconsin,1976,30609.1,4584688,6676
Wisconsin,1975,27872.0,4569616,6099
Wyoming,1988,6993.9,465103,15037
Wyoming,2010,26185.4,564405,46395
Wyoming,1999,13476.8,491780,27404
Wyoming,2021,40866.6,579548,70515
Wyoming,1995,10563.2,485160,21773
Wyoming,1974,2302.7,364548,6317
Wyoming,1985,7156.1,499696,14321
Wyoming,2017,32487.4,576248,56377
Wyoming,2006,22895.5,522667,43805
Wyoming,1984,6848.3,504895,13564
Wyoming,1980,5507.3,474185,11614
Wyoming,2023,45461.1,584057,77837
Wyoming,1975,2607.4,380477,6853
Wyoming,1976,2890.4,395446,7309
Wyoming,1977,3375.6,411530,8203
Wyoming,1978,4033.7,430897,9361
Wyoming,1979,4715.7,451850,10436
Wyoming,1981,6294.2,491712,12801
Wyoming,1982,6611.5,506400,13056
Wyoming,1983,6569.0,510344,12872
Wyoming,1986,7125.3,495633,14376
Wyoming,1987,6833.6,476966,14327
Wyoming,1989,7632.0,458373,16650
Wyoming,1990,8231.0,453690,18142
Wyoming,1991,8650.7,459260,18836
Wyoming,1992,9122.2,466251,19565
Wyoming,1993,9646.8,473081,20392
Wyoming,1994,10085.7,480283,21000
Wyoming,1997,11864.6,489451,24241
Wyoming,1996,11043.4,488167,22622
Wyoming,1998,12615.1,490787,25704
Wyoming,2000,14545.3,494300,29426
Wyoming,2001,15440.8,494657,31215
Wyoming,2002,15905.3,500017,31810
Wyoming,2003,16937.2,503453,33642
Wyoming,2004,18287.4,509106,35921
Wyoming,2005,20004.4,514157,38907
Wyoming,2007,24408.3,534876,45634
Wyoming,2008,27002.5,546043,49451
Wyoming,2009,24912.8,559851,44499
Wyoming,2011,28699.9,566858,50630
Wyoming,2012,30844.4,575497,53596
Wyoming,2013,30694.1,580930,52836
Wyoming,2018,34025.2,574801,59195
Wyoming,2019,35592.6,575341,61863
Wyoming,2020,37866.4,577664,65551
Wyoming,2022,42584.7,581629,73216
Wyoming,2015,32755.6,583645,56122
Wyoming,2016,31090.1,581983,53421
Wyoming,2014,32679.6,580949,56252
New England,2023,1243427.0,15159777,82021
New England,1980,132761.2,12371656,10731
New England,1984,195508.7,12641838,15465
New England,2006,655754.9,14245540,46032
New England,2017,936295.4,14993799,62446
New England,1985,211350.9,12740544,16589
New England,1974,73638.8,12156540,6058
New England,1995,369440.5,13472634,27422
New England,2021,1166197.4,15106108,77200
New England,1999,470836.3,13837653,34026
New England,2010,749401.6,14476185,51768
New England,1988,272988.3,13084523,20863
New England,2014,833957.3,14816797,56285
New England,2016,900400.7,14926033,60324
New England,2015,874241.6,14869837,58793
New England,2022,1188528.1,15120739,78603
New England,2020,1089448.9,15057898,72351
New England,2019,1025951.7,15089460,67991
New England,2018,981389.5,15053190,65195
New England,2013,800299.6,14731535,54326
New England,2011,781044.0,14564200,53628
New England,2012,802747.9,14650420,54794
New England,2009,719707.1,14403575,49967
New England,2008,726656.3,14340115,50673
New England,2007,693140.4,14279205,48542
New England,2005,611753.4,14216656,43031
New England,2004,588011.0,14206683,41390
New England,2003,558998.5,14182454,39415
New England,2002,546839.1,14122441,38721
New England,2001,544288.1,14041043,38764
New England,2000,518807.3,13949721,37191
New England,1998,443845.8,13733828,32318
New England,1996,389888.8,13554814,28764
New England,1997,413839.1,13642197,30335
New England,1994,349813.7,13396380,26113
New England,1993,335455.9,13334364,25157
New England,1992,323631.4,13271045,24386
New England,1991,306638.6,13247630,23147
New England,1990,301685.8,13229502,22804
New England,1989,292779.3,13181740,22211
New England,1987,247066.6,12951233,19077
New England,1986,228204.5,12833004,17783
New England,1983,174693.2,12544350,13926
New England,1982,161496.7,12467917,12953
New England,1981,148252.2,12435782,11921
New England,1979,117382.1,12345269,9508
New England,1978,104955.4,12302714,8531
New England,1977,94469.6,12257357,7707
New England,1976,86256.7,12207302,7066
New England,1975,79316.2,12176402,6514
Mideast,1988,870128.1,43435353,20033
Mideast,2010,2290211.9,48241659,47474
Mideast,1999,1503323.4,46105834,32606
Mideast,2021,3597297.5,49986278,71966
Mideast,1995,1210390.1,45186033,26787
Mideast,1974,272561.5,42709177,6382
Mideast,1985,698661.2,42793973,16326
Mideast,2017,2952031.3,50066003,58963
Mideast,2006,2040720.9,47334435,43113
Mideast,1984,652851.0,42686518,15294
Mideast,1980,462955.0,42272235,10952
Mideast,2023,3779199.3,49714855,76018
Mideast,1975,295272.3,42727721,6911
Mideast,1976,317631.9,42667403,7444
Mideast,1977,345171.0,42546619,8113
Mideast,1978,378978.0,42421484,8934
Mideast,1979,416719.5,42358101,9838
Mideast,1981,514142.1,42328543,12146
Mideast,1982,555305.1,42382098,13102
Mideast,1983,594509.5,42543638,13974
Mideast,1986,744511.2,42991120,17318
Mideast,1987,792764.6,43189888,18355
Mideast,1989,939515.9,43584907,21556
Mideast,1990,998496.0,43761704,22817
Mideast,1991,1018867.1,44070941,23119
Mideast,1992,1077163.2,44392469,24265
Mideast,1993,1112543.7,44717161,24880
Mideast,1994,1151104.7,44969670,25597
Mideast,1996,1273655.8,45383860,28064
Mideast,1997,1345023.0,45579719,29509
Mideast,1998,1428588.7,45822025,31177
Mideast,2000,1625348.4,46386027,35040
Mideast,2001,1692957.3,46619373,36314
Mideast,2002,1712114.2,46841190,36551
Mideast,2003,1754022.7,47034773,37292
Mideast,2004,1842805.1,47162342,39074
Mideast,2005,1915929.9,47239239,40558
Mideast,2007,2173519.6,47473718,45784
Mideast,2008,2243334.6,47684886,47045
Mideast,2009,2204552.3,47943872,45982
Mideast,2012,2502397.2,48968003,51103
Mideast,2011,2412404.9,48630886,49606
Mideast,2013,2523330.6,49256449,51228
Mideast,2018,3073000.2,50217876,61193
Mideast,2019,3187603.5,50304910,63366
Mideast,2020,3362441.9,50208969,66969
Mideast,2022,3597383.6,49760497,72294
Mideast,2015,2730527.6,49723638,54914
Mideast,2016,2817599.4,49895423,56470
Mideast,2014,2618310.1,49515008,52879
Great Lakes,2023,2991772.3,47146039,63458
Great Lakes,1980,425918.1,41693671,10215
Great Lakes,1984,564804.6,41393218,13645
Great Lakes,2006,1642386.4,46071573,35649
Great Lakes,2017,2261787.0,47234338,47884
Great Lakes,1985,599999.2,41417995,14486
Great Lakes,1974,243765.6,41036791,5940
Great Lakes,1995,1040168.1,43923694,23681
Great Lakes,2021,2835493.0,47187461,60090
Great Lakes,1999,1281344.0,44969225,28494
Great Lakes,2010,1768446.2,46450820,38071
Great Lakes,1988,712256.2,41720866,17072
Great Lakes,2014,2053532.1,46981634,43709
Great Lakes,2016,2185988.4,47136309,46376
Great Lakes,2015,2143222.7,47048673,45553
Great Lakes,2022,2863569.0,47098310,60800
Great Lakes,2020,2620797.1,47345074,55355
Great Lakes,2019,2447905.0,47358868,51688
Great Lakes,2018,2368541.6,47306617,50068
Great Lakes,2013,1975055.2,46858230,42150
Great Lakes,2011,1871471.2,46580609,40177
Great Lakes,2012,1948108.5,46702192,41713
Great Lakes,2009,1712364.9,46355854,36940
Great Lakes,2008,1775398.5,46275120,38366
Great Lakes,2007,1715070.7,46187992,37132
Great Lakes,2005,1563293.5,45949142,34022
Great Lakes,2004,1517095.4,45844372,33092
Great Lakes,2003,1461122.1,45707787,31967
Great Lakes,2002,1426200.1,45550284,31310
Great Lakes,2001,1408885.0,45401564,31032
Great Lakes,2000,1365620.1,45216019,30202
Great Lakes,1998,1231449.3,44727877,27532
Great Lakes,1997,1157985.6,44493603,26026
Great Lakes,1996,1097451.4,44239468,24807
Great Lakes,1994,986855.8,43589980,22640
Great Lakes,1993,930173.6,43274741,21495
Great Lakes,1992,890189.9,42902625,20749
Great Lakes,1991,831492.3,42495903,19566
Great Lakes,1990,810260.6,42091157,19250
Great Lakes,1989,766625.1,41872543,18309
Great Lakes,1987,662421.6,41589687,15928
Great Lakes,1986,632186.1,41455030,15250
Great Lakes,1983,512331.8,41366046,12385
Great Lakes,1982,486504.7,41492474,11725
Great Lakes,1981,464510.1,41647869,11153
Great Lakes,1979,392789.4,41610978,9440
Great Lakes,1977,321433.8,41353165,7773
Great Lakes,1978,356577.6,41510152,8590
Great Lakes,1976,289628.3,41186726,7032
Great Lakes,1975,263253.1,41105385,6404
Plains,1988,284713.4,17533255,16238
Plains,2010,816746.3,20539838,39764
Plains,1999,521547.1,19130836,27262
Plains,2021,1318413.1,21662785,60861
