State,Year,January-December Cooling Degree Days (Units Fahrenheit Degree-Days)
Nebraska,2022,1185
Nebraska,2023,1115
Nevada,1974,2101
Nevada,1975,1819
Nevada,1976,1742
Nevada,1977,2009
Nevada,1978,1893
Nevada,1979,1968
Nevada,1980,1836
Nevada,1981,2225
Nevada,1982,1697
Nevada,1983,1728
Nevada,1984,2001
Nevada,1985,1993
Nevada,1986,1935
Nevada,1987,2018
Nevada,1988,2086
Nevada,1989,2093
Nevada,1990,2084
Nevada,1991,1862
Nevada,1992,2089
Nevada,1993,1800
Nevada,1994,2278
Nevada,1995,1914
Nevada,1996,2272
Nevada,1997,2097
Nevada,1998,1769
Nevada,1999,1884
Nevada,2000,2250
Nevada,2001,2374
Nevada,2002,2241
Nevada,2003,2417
Nevada,2004,2106
Nevada,2005,2008
Nevada,2006,2223
Nevada,2007,2361
Nevada,2008,2199
Nevada,2009,2195
Nevada,2010,2032
Nevada,2011,1972
Nevada,2012,2363
Nevada,2013,2189
Nevada,2014,2267
Nevada,2015,2293
Nevada,2016,2253
Nevada,2017,2312
Nevada,2018,2451
Nevada,2019,2012
Nevada,2020,2488
Nevada,2021,2495
Nevada,2022,2387
Nevada,2023,2032
New Hampshire,1974,199
New Hampshire,1975,288
